,date,file_name,hemisphere,image_type
N_19781026_concentration_v3.0,1978-10-26,daily/geotiff/1978/N_19781026_concentration_v3.0.tif,north,concentration
N_19781028_concentration_v3.0,1978-10-28,daily/geotiff/1978/N_19781028_concentration_v3.0.tif,north,concentration
N_19781030_concentration_v3.0,1978-10-30,daily/geotiff/1978/N_19781030_concentration_v3.0.tif,north,concentration
N_19781101_concentration_v3.0,1978-11-01,daily/geotiff/1978/N_19781101_concentration_v3.0.tif,north,concentration
N_19781103_concentration_v3.0,1978-11-03,daily/geotiff/1978/N_19781103_concentration_v3.0.tif,north,concentration
N_19781105_concentration_v3.0,1978-11-05,daily/geotiff/1978/N_19781105_concentration_v3.0.tif,north,concentration
N_19781107_concentration_v3.0,1978-11-07,daily/geotiff/1978/N_19781107_concentration_v3.0.tif,north,concentration
N_19781109_concentration_v3.0,1978-11-09,daily/geotiff/1978/N_19781109_concentration_v3.0.tif,north,concentration
N_19781111_concentration_v3.0,1978-11-11,daily/geotiff/1978/N_19781111_concentration_v3.0.tif,north,concentration
N_19781113_concentration_v3.0,1978-11-13,daily/geotiff/1978/N_19781113_concentration_v3.0.tif,north,concentration
N_19781115_concentration_v3.0,1978-11-15,daily/geotiff/1978/N_19781115_concentration_v3.0.tif,north,concentration
N_19781117_concentration_v3.0,1978-11-17,daily/geotiff/1978/N_19781117_concentration_v3.0.tif,north,concentration
N_19781119_concentration_v3.0,1978-11-19,daily/geotiff/1978/N_19781119_concentration_v3.0.tif,north,concentration
N_19781121_concentration_v3.0,1978-11-21,daily/geotiff/1978/N_19781121_concentration_v3.0.tif,north,concentration
N_19781123_concentration_v3.0,1978-11-23,daily/geotiff/1978/N_19781123_concentration_v3.0.tif,north,concentration
N_19781125_concentration_v3.0,1978-11-25,daily/geotiff/1978/N_19781125_concentration_v3.0.tif,north,concentration
N_19781127_concentration_v3.0,1978-11-27,daily/geotiff/1978/N_19781127_concentration_v3.0.tif,north,concentration
N_19781129_concentration_v3.0,1978-11-29,daily/geotiff/1978/N_19781129_concentration_v3.0.tif,north,concentration
